S.No,Vehicle Type,Vehicle Make,Vehicle Model,Tyre Type,Tyre Make,Load,Pressure,Tyre Position,compressed radii,non compressed radii,Ratio,Result
3,0,Maruthi,Swift Desire,0,7,1100,33,1,14.542,15.431,0.9423886981,0
4,0,Maruthi,Swift Desire,0,7,1100,33,0,10.375,12.672,0.8187342172,0
5,0,Maruthi,Swift Desire,0,7,1100,33,0,12.917,15,0.8611333333,0
6,0,Maruthi,Alto,0,6,750,23,0,11.5,14.572,0.7891847379,0
7,0,Maruthi,Alto,0,6,750,28,1,11.292,13.583,0.8313332843,0
8,0,Maruthi,Alto,0,6,750,23,0,11.292,14.875,0.7591260504,0
9,0,Maruthi,Ertiga,0,3,1200,34,0,10.833,12.5,0.86664,1
10,0,Maruthi,Ertiga,0,3,1200,35,1,11.792,13.833,0.852454276,1
11,0,Maruthi,Ertiga,0,3,1200,38,0,11,11.625,0.9462365591,0
12,0,Bajaj,Auto,0,8,300,33,1,9.417,10.042,0.9377614021,1
13,0,Bajaj,Auto,0,8,300,20,0,7.458,8.083,0.9226772238,1
14,0,Bajaj,Auto,0,8,300,45,1,9.25,10.083,0.9173856987,0
15,0,Toyota,Innova,0,3,1745,33,0,13.375,14.792,0.9042049757,0
16,0,Toyota,Innova,0,3,1745,15,1,11.542,14.75,0.7825084746,1
17,0,Toyota,Innova,0,3,1745,33,0,11.792,14.667,0.8039817277,0
18,0,Maruthi,Ritz,0,4,1150,31,0,10.667,13.917,0.7664726593,1
19,0,Maruthi,Ritz,0,4,1150,31,1,10.25,11.292,0.9077222813,1
20,0,Maruthi,Ritz,0,4,1150,33,1,12.917,15.625,0.826688,0
21,0,Maruthi,Swift ,0,9,965,31,0,11.375,13.987,0.8132551655,1
22,0,Maruthi,Swift ,0,9,965,31,1,11,13.417,0.8198554073,1
23,0,Maruthi,Swift,0,9,965,33,1,9.917,11.417,0.8686169747,0
24,0,Tata,Sumo,0,3,1900,39,1,11.458,13,0.8813846154,0
25,0,Tata,Sumo,0,3,1900,33,1,11.083,12.292,0.9016433453,1
26,0,Tata,Sumo,0,3,1900,39,0,12.625,16.125,0.7829457364,0
